P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
9.49,7.68,21.35,7.18,5.46
10.24,6.77,20.36,6.63,5.02
12.4,6.11,20.71,6.38,5.0
12.15,6.12,17.23,6.31,4.86
9.16,6.23,16.68,6.69,4.9
9.03,6.01,16.61,8.84,5.21
9.77,5.93,18.39,6.38,4.87
9.96,5.59,17.27,6.53,4.89
8.75,5.64,16.96,6.35,4.83
9.36,5.48,18.14,6.33,7.03
8.77,5.57,20.29,8.9,4.8
8.65,5.79,17.13,9.04,4.76
10.16,5.33,17.15,8.82,4.66
8.97,5.4,16.59,6.42,4.9
9.89,5.29,16.35,6.4,5.0
8.79,5.46,16.1,6.37,4.95
9.34,6.21,20.84,6.41,4.86
8.76,5.39,20.59,6.34,4.84
9.45,7.26,17.81,6.49,4.87
9.1,5.45,22.36,6.55,4.85
10.16,5.49,18.44,6.82,6.89
9.69,5.72,23.06,7.71,5.25
9.13,7.13,19.4,6.54,4.83
8.72,6.96,21.78,6.48,4.78
9.78,5.62,21.35,6.34,5.73
9.61,7.09,643.52,6.24,4.97
9.72,6.76,17.27,6.4,5.03
12.11,5.36,17.39,6.34,4.78
9.6,7.15,433.34,6.52,5.18
9.31,5.58,16.71,6.42,4.87
9.56,6.88,23.38,6.78,4.87
9.53,5.87,57868.96,6.64,5.06
9.77,5.47,3293.3,6.47,4.74
9.4,5.8,1071.1,6.57,4.94
9.91,5.76,7322.71,7.08,4.6
9.12,5.41,1084.28,7.01,5.33
9.08,5.97,638.81,6.93,6.09
215.35,5.28,842.58,7.2,5.9
218.73,5.7,1480.99,8.89,8.31
422.49,6.68,630.07,6.74,8.79
213.29,7.68,1019.93,7.15,5.12
11.24,6.31,1279.32,9.49,5.24
9.99,5.82,16418.71,9.03,5.32
210.81,5.93,224.33,6.9,4.83
1065.09,6.39,3290.48,6399.97,4.84
8.69,5.81,1071.41,1221.41,5.08
1060.28,4087.75,10582.7,6.84,8.46
8.88,211.61,1224.72,6.82,1476.25
214.26,827.06,16.06,10.47,212.47
214.34,2271.11,13195.27,9.17,4.92
1695.45,16843.17,16868.24,2081.71,1446.3
1834.28,7.63,16.35,1008.81,1426.57
8.76,3106.2,16.88,6.74,6.76
6682.23,5.46,16.39,6.7,5.83
3061.72,4388.28,19.57,1043.34,9.36
834.25,5.4,20.99,218.37,5.28
213.34,16977.37,16.97,9.34,213.78
1035.76,1430.0,16.71,9.17,5.28
425.28,5.37,3116.32,8.44,5.0
211.15,213.97,19.91,217.66,9.6
1054.17,5.68,19.24,1268.44,8.11
1013.71,5.45,16.46,9.5,4.81
1016.73,5.29,14490.93,1041.03,3149.95
1009.83,1017.65,1429.1,1014.65,8.45
1014.23,5.27,22.61,7.93,1267.05
3473.76,1268.67,16.55,6.85,6.04
1046.1,3110.41,16.2,220.21,4.88
214.58,210.61,1225.95,6.89,17843.52
8.82,6613.78,229.39,7.38,5.66
2684.35,7.13,1021.45,7.88,4.82
828.09,211.3,16.18,176715.24,215.85
1072.71,5.34,838.72,8.2,6389.85
9.85,214.52,2053.39,7.23,4.82
418.76,1045.54,232.1,2064.69,423.01
215.11,32033.07,22.91,10.74,1458.1
1245.66,5.55,20.25,213.51,61005.38
7208.19,6.86,21.34,6.57,827.7
4781.81,419.38,16.9,629.04,4.98
9.31,1062.43,1229.76,6.67,1878.29
9.93,6.35,1264.94,827.78,4.81
215.23,826.88,17.68,6.86,6.05
213.6,212.7,20.48,10.43,5.66
1017.7,4350.62,1269.73,6420.3,2272.2
1010.74,829.47,20.82,6.53,4.91
1426.04,1069.03,1236.52,1009.15,7189.44
9.06,5.49,21.26,1013.99,5109.82
218.55,5.66,4788.21,13170.97,1013.8
217.11,5.55,1271.66,1432.42,5.0
11.81,5.95,16.46,425.15,1063.03
1259.64,1014.15,16.75,6.78,4.86
10.63,1013.36,16.25,6.94,5.97
13256.34,5.96,225.23,1228.63,4579.59
9.05,5.35,16.48,2087.98,4.96
1697.87,5393.81,225.32,4085.85,8.29
1015.98,3269.57,1059.99,6.76,212.07
12.23,4629.32,2101.56,218.52,5.08
9.19,5.39,2919.7,1227.4,5634.82
213.18,5.71,1468.69,6.53,1214.53
9.06,5.49,16.12,1462.37,5.14
1048.6,1028.49,635.45,6.73,2710.15
833.75,1650.95,2076.17,10.21,828.73
3299.34,5.32,1077.49,220.23,1212.38
421.79,7210.17,1451.26,213.69,1065.32
1238.74,5.53,13527.04,6.5,1010.97
1268.78,209.68,21.99,6.57,5.04
6064.26,5.34,18.43,6.37,4.97
9.02,1219.3,2068.64,6.38,1044.59
1234.16,212.69,4841.3,5656.93,5.93
2089.81,4741.25,1065.19,6.72,1266.68
8.85,5.6,1078.91,2492.65,5.02
1058.24,1062.78,20.57,8014.88,8.91
9.03,1649.0,2069.34,6.8,4308.72
8.72,2040.02,638.83,213.21,1062.65
1243.89,1009.93,16.28,5137.92,4.98
9.21,6579.34,17.02,626.18,2086.28
1046.27,1018.79,16.47,11.26,4.87
9.36,1216.55,1460.02,9.38,1063.41
8670.05,3985.25,16.18,8.66,4339.72
3314.05,2678.18,2453.05,11.0,5.1
2041.35,5.41,428.83,3308.11,8.31
8.95,5.99,16.06,1475.89,1252.48
1059.22,5.44,1667.12,1048.29,4388.08
9.13,3084.11,1022.87,1634.3,1013.59
216.19,9.39,16.05,1445.1,1220.15
9.09,213.62,22.02,6.56,4628.95
9.2,5.36,1290.13,10.66,9.33
5396.79,5367.55,16.15,628.31,9.11
214.07,6.92,226.51,6.75,2062.4
213.53,212.93,16.03,8.52,5.46
11.29,2671.27,8248.04,1455.5,1474.34
1060.57,1426.06,19.38,213.65,2485.22
220.49,213.6,1670.63,6.55,5.01
213.46,2035.73,17.66,3109.38,8.68
5042.2,1218.42,16662.39,6.52,2242.58
9.09,1063.39,20.75,10.22,5.46
1666.17,1011.04,20.85,7.78,5393.57
8.83,3883.8,15.96,7.6,1221.2
8.94,214.51,16.36,4573.01,214.45
1245.42,6.5,15.88,1218.6,1238.29
12.85,1241.2,1275.07,6.73,2088.18
9.02,422.17,2293.53,2708.18,4.94
1432.21,5.57,19.3,6.8,213.43
1050.73,422.89,22.1,1064.01,829.56
1424.27,5.42,17.19,219.47,5.11
3348.74,5.45,35059.14,1453.6,1456.19
12.63,1047.28,3067.91,10.65,2242.4
1052.97,1015.32,1076.44,9.76,213.71
217.96,5.58,1276.64,3057.32,4.91
8.96,6.16,428.98,9.82,17635.48
1022.96,1040.42,20.08,1471.15,213.64
3265.2,211.37,22.74,6.63,5.06
212.81,1048.38,1891.93,6.7,1237.18
9.09,3772.66,221.71,2453.0,4.94
218.19,5.36,2274.52,3096.68,12823.71
7184.48,13510.49,5005.36,8.4,4.91
9.29,5.48,1045.95,6983.37,6.05
9.13,5.86,20.31,6.57,4.95
8.78,214.96,16761.79,6.4,1033.78
217.13,422.7,225.2,1009.62,8.99
1249.15,419.21,20.11,6.62,5.26
1065.72,829.91,16.69,9.65,6.55
12.39,6.88,16.2,10.49,4.98
15.56,5.42,1657.75,6.35,36186.14
12.17,212.39,1070.87,6.51,60873.28
9.03,5.82,1077.34,6.48,1223.77
1866.24,1435.87,1488.02,6.59,3109.01
