P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
3.35,3.12,21.52,8.26,3.69
2.75,2.46,13.22,6.63,3.14
2.73,2.43,13.41,4.93,3.09
3.18,2.38,16.34,4.76,2.92
3.55,2.19,12.1,7.09,2.81
2.95,2.78,13.08,6.01,3.46
2.67,2.72,11.05,5.69,3.37
2.44,2.74,11.82,6.37,2.92
2.64,2.91,10.58,7.11,2.81
3.53,2.62,11.91,6.12,2.94
3.14,3.88,11.36,4.35,3.19
4.17,3.08,15.87,5.24,3.2
2.49,2.44,11.83,5.49,3.16
2.99,2.76,15.61,5.47,3.62
2.56,3.13,11.76,4.56,3.53
3.46,2.9,3012.1,5.58,2.77
2.85,2.82,11.5,5.4,2.9
2.58,3.18,16.45,5.87,2.81
2.75,2.77,1037.08,7.31,2.58
1002.79,2.77,10.46,1030.04,2.83
3.21,3001.71,3106.49,5.62,2.82
1003.16,3002.11,4012.12,5.84,2.69
3001.21,2.47,11.52,5.0,2.94
3001.64,,1009.88,6.06,2.71
2.64,2.73,10.6,1005.5,3.82
1002.3,1001.98,15.79,3003.53,2.96
2.66,2.57,15.16,1059.56,1003.55
3.3,6999.15,16.74,4.53,1011.2
3.48,2.94,1632.49,6.67,3.13
2.79,2.54,11.49,1005.31,1003.12
1002.89,2.46,1037.79,5.24,2.7
2.85,2.4,7005.87,,2.7
2.48,2.28,,5.35,1003.22
3001.6,2.42,11.92,4.46,1084.79
3001.36,1002.54,11.52,4.2,2.59
3.58,2.79,1035.58,1210.59,7082.82
3001.29,2.81,11.01,6.28,8660.79
3001.3,3000.24,11.76,3002.97,2.85
3.59,3119.46,10.28,5.2,3.13
1003.0,2.64,11.63,3188.77,3.49
,2.39,3009.13,1005.24,1002.25
3.17,2.37,16.22,1004.93,1002.37
2.4,6998.49,10.53,5.65,3002.32
2.39,2.58,11.75,1004.55,1002.98
,2.75,1037.28,6.54,1003.21
3001.09,2.63,3082.03,1005.93,1028.52
3.81,2.43,14.4,5.91,1027.78
2.61,1001.72,12.86,6.82,1114.98
3001.63,1001.86,1181.92,6.62,2.76
,2.58,1014.64,6.11,3.29
3.39,1001.99,11.42,8001.17,2.99
2.5,2.19,4108.84,4.83,3.46
2.65,1002.33,1036.64,4.36,2.61
1002.73,,1971.2,6.03,1002.3
3.63,2.87,16.39,5.31,2.75
3.27,2.14,11.71,1059.62,1112.56
3.15,3000.69,11.38,5.35,2.84
2.53,6997.21,10.58,7000.24,1003.92
3.94,2.48,11.78,4.99,3.52
2.95,2.78,11.7,5.05,1029.38
3.07,3000.36,12.07,1060.27,3.38
2.68,3001.09,1066.72,4.79,1003.26
2.52,2.97,10.49,1005.2,
3000.83,2.95,2884.58,5.12,3.43
3002.57,2.51,11.28,4.38,4.17
