P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
7.34,8.08,19.05,11.25,4.7
6.51,4.97,14.07,9.05,3.67
7.92,4.81,14.34,8.61,3.82
6.38,4.92,22.05,9.22,4.17
6.75,4.94,14.07,8.51,5.04
7.38,4.76,14.08,7.3,4.92
9.54,5.48,14.64,9.77,4.09
11.19,4.55,14.17,8.84,3.98
7.05,4.99,14.75,8.76,4.86
8.21,5.23,13.7,7.54,5.27
6.77,5.63,14.11,9.21,4.29
6.68,4.73,21.09,9.1,3.94
6.67,6.59,19.65,8.77,4.14
9.21,4.97,15.36,7.2,3.64
6.3,5.06,15.46,10.6,4.03
8.18,4.71,15.36,7.13,6.96
6.83,4.86,1017.29,7.27,4.63
6.99,5.67,3013.37,6.99,4.25
6.89,4.76,14.13,7.29,4.79
8.51,7000.73,17.02,1010.52,1004.12
7.46,4.79,1017.63,7.28,1004.24
1006.53,4.54,1040.53,7.92,4.32
6.8,4.65,13.96,1089.17,6.47
6.65,4.48,13.84,6.99,1004.12
6.92,1005.23,13.66,7.25,4.65
8.21,4.57,14.45,1010.31,5.01
9.7,4.63,15.19,7.44,4.45
6.99,4.94,14.09,7.62,5.04
7.81,1004.37,14.29,7.16,5.05
8.32,3002.68,14.01,7.12,4.37
8.45,1004.36,13.98,8.63,4.32
6.4,3003.46,21.52,8.42,3.99
6.61,4.65,13.98,8.73,3.72
6.16,4.78,13.76,1020.9,1003.04
1005.74,3003.17,13.91,7.0,5.5
6.35,5.24,20.93,7.78,6.19
3006.75,3002.9,14.03,7.69,3.83
7.05,4.9,14.45,7.26,4.0
11.52,4.5,1040.66,8.34,1004.17
8.04,3002.96,14.35,8.06,6.62
6.52,1006.69,14.13,7.24,5.82
8.38,7000.23,14.22,7.1,4.24
6.04,4.7,13.81,6.84,6.45
1006.4,4.55,14.09,6.75,5.2
6.09,7.46,13.63,6.88,4.76
6.59,4.71,14.32,8.52,4.09
8.23,4.53,14.15,6.95,4.6
7.84,4.91,14.04,6.93,4.09
7.02,4.38,16.04,6.93,5.52
6.21,4.61,13.93,7.05,3.79
6.88,4.54,17.94,7.36,3.79
6.42,5.12,22.08,7.82,3.92
6.8,4.65,13.83,7.03,1003.09
1007.37,4.6,15.32,1032.22,3.97
1006.01,4.71,1183.88,6.76,1004.38
6.02,4.5,14.42,7.22,6.31
1005.48,4.78,13.75,6.81,1004.16
8.37,4.51,14.01,1044.8,4.11
8.74,5.63,14.78,7.11,1005.69
5.93,4.64,14.09,7.04,4.17
5.85,3004.28,13.85,7.14,5.29
6.09,4.72,16.53,7.35,4.26
8.11,3004.38,23.15,7.18,4.81
6.25,4.86,14.44,7.14,4.12
7.87,4.6,14.06,8.31,4.35
6.03,4.75,14.17,6.96,4.97
