P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
2.2,2.11,10.88,3.4,2.6
1.74,2.57,7.99,2.71,2.09
1.68,1.86,8.01,3.14,2.17
1.93,1.79,7.96,2.99,2.11
1.81,2.06,7.85,2.67,2.18
1.68,1.83,7.7,2.61,2.07
1.8,1.97,7.98,2.34,2.09
1.9,2.43,8.26,2.73,1.96
1.92,1.94,7.64,2.48,1.9
1.87,2.07,7.96,2.49,2.07
2.25,1.78,7.94,2.44,1.96
1.87,2.02,8.72,2.2,1.84
1.9,2.29,8.65,2.51,3.0
1.77,1.77,7.76,2.4,2.81
1.9,2.24,7.79,2.35,2.04
1.87,1.84,7.85,3.3,1.89
1.89,2.07,8.62,2.94,1.87
1.65,1.87,7.66,2.23,1.86
1.68,1.82,7.46,2.3,1.85
1.66,2.06,7.87,2.27,1.84
1.58,1.95,7.59,2.25,2.08
1.62,1.81,7.23,2.65,2.17
1.91,1.85,8.45,2.76,1.92
1.92,1.74,8.38,2.71,1.99
1.91,1.86,8.49,2.47,2.62
1.95,1.94,8.08,2.79,2.25
2.01,1.78,7.94,2.37,2.11
2.08,1.7,7.9,2.54,2.2
2.08,1.71,7.96,2.44,1.94
2.28,1.99,7.66,2.67,1.88
2.62,1.81,7.73,2.85,2.43
2.65,1.74,7.66,2.43,2.13
2.6,1.75,7.8,2.56,2.1
1.9,1.78,7.96,2.28,2.21
1.99,1.89,8.09,2.31,2.15
1.89,1.83,7.76,2.43,2.11
1.84,1.85,10.22,2.46,2.02
2.57,1.84,9.81,2.65,2.08
2.02,2.07,8.25,3.27,2.11
1.74,1.82,9.01,2.78,2.31
1.86,1.97,7.81,2.72,2.11
1.88,1.98,11.74,2.47,2.2
1.77,1.81,7.64,2.56,2.12
1.77,1.8,7.88,2.48,2.4
1.82,1.93,10.93,2.33,2.1
1.84,1.72,8.08,2.62,2.04
1.97,2.28,7.66,3.7,3.08
1.86,1.81,11.41,2.52,2.38
2.31,1.74,7.68,2.79,2.21
1.92,1.88,7.79,3.18,2.17
1.76,1.95,7.83,2.44,2.88
1.92,1.75,8.34,2.58,2.04
1.78,1.76,7.76,2.72,1.86
1.81,1.98,7.64,2.42,1.87
1.86,1.81,7.85,2.56,2.03
1.92,1.87,7.93,2.33,2.61
2.11,1.75,7.77,2.53,1.98
1.96,1.73,7.68,2.47,2.14
2.3,2.31,8.56,2.35,1.82
1.95,2.37,8.75,2.35,2.58
1.86,2.34,7.88,2.33,2.64
1.82,2.21,8.3,2.93,206.02
2.51,1.8,7.71,2.55,2.07
1.76,1.79,11.75,2.51,1259.12
1.84,1.68,7.76,2.48,2.48
1.91,1.73,7.94,2.62,2.23
2.07,1.83,7.79,2.43,2.2
1.91,1.98,7.88,2.68,2.08
209.82,206.36,7.92,2.45,2.3
1013.9,1.82,12.34,2.42,2.02
1.91,1.82,7.76,2.38,2.35
2.05,1.72,8.0,1033.33,2.25
1052.35,1.81,8.06,2.42,2.11
2.02,1.77,1049.5,3.16,1.92
2.26,1.78,11.51,1255.82,2.26
1.96,2.22,7.78,206.21,209.88
1041.44,204.79,8.21,2.45,205.88
1013.72,1.83,8.3,2.65,2.21
1014.1,1.59,7.59,2.49,209.22
1.92,1.94,7.71,1062.44,2.34
1.92,2.71,7.71,2.36,2.26
3.51,1.8,1012.81,2.69,2.12
2.11,1.78,9.93,2.74,2.08
2.28,1.68,7.75,2.47,2.4
1.95,1.81,11.82,2.82,2.14
205.47,1.82,12.01,1009.64,2.03
1.88,1.83,7.93,2.53,2.61
1.92,1.82,7.99,2.44,1041.05
1.89,1.89,4789.57,2.59,204.38
1012.57,1.94,7.9,2.31,1.98
2.33,2.12,7.65,209.79,1043.2
2.17,1.88,7.75,2.5,1.93
2.69,1.82,7.8,2.5,2.07
2.13,1.86,11.18,1244.85,2.15
2.65,1.96,11.43,2.51,2.09
2.43,1.8,8.0,2.31,2.1
2.32,1052.93,7.75,2.34,2.21
1252.98,2.52,8.45,2.26,1.96
1.94,1.84,8.37,2.18,1.97
2.28,207.67,7.83,2.07,2.05
2.12,1.88,7.92,2.3,2.06
1023.75,1.81,10.15,203.82,206.25
1.97,1.88,8.36,205.94,2.1
1.93,1.91,7.69,2.47,1.99
1055.5,1.81,7.94,1050.99,1.95
1.98,1.94,7.91,1221.65,211.11
1.98,2.11,7.76,1059.74,1062.17
1.95,2.09,8.25,2.48,2.03
1.94,2.16,12.89,2.48,418.04
2.03,2.06,7.98,2.46,1022.72
2.41,2.12,8.85,2.39,2.01
2.24,1.88,8.44,2.53,2.12
210.48,1010.47,1264.76,2.37,2.05
2.38,1.77,8.91,3.09,209.55
2.38,1.74,7.88,2.52,2.44
3.44,1.75,8.02,2.26,2.58
2.9,1.57,10.77,2.39,2.18
2.43,1.75,8.23,2.37,2.04
207.78,205.6,7.95,2.52,2.11
2.63,2.28,7.92,209.23,2.15
2.53,1.67,1058.25,2.88,2.34
2.15,1.74,7.88,206.75,2.03
2.01,2.5,1059.24,2.88,2.02
2.23,2.1,7.79,2.81,2.1
415.91,2.01,11.61,2.73,2.19
1009.43,2.05,8.87,1014.64,2.06
2.23,1.82,1222.3,2.6,1052.9
2.74,1.71,7.76,2.94,2.15
204.49,1.85,7.84,204.75,208.26
2.22,1.73,7.55,2.35,2.2
2.28,1.62,7.66,2.89,2.12
205.5,208.74,7.61,206.47,2.48
2.61,2.41,8.18,2.31,2.01
2.63,2.23,11.6,2.57,2.05
2.56,1058.64,7.9,205.5,1036.77
204.29,1.81,7.85,2.35,2.15
2.19,1.69,9.38,2.28,208.18
205.89,206.66,11.73,2.34,1037.11
